2111|Materiales y útiles de oficina
2121|Materiales y útiles de impresión y reproducción
2131|Material estadístico y geográfico
2141|Materiales y útiles de tecnologías de la información y comunicaciones
2151|Material impreso e información digital
2161|Material de limpieza
2171|Materiales y útiles de enseñanza
2181|Materiales para el registro e identificación de bienes y personas
2211|Productos alimenticios para personas
2212|Productos alimenticios para preparar alimentos
2221|Productos alimenticios para animales
2231|Utensilios para el servicio de alimentación
2311|Productos alimenticios, agropecuarios y forestales adquiridos como materia prima
2312|Productos de naturaleza vegetal y forestal adquiridos como materia prima
2391|Otros productos adquisición de materia en estado natural o transformadas
2411|Productos minerales no metálicos
2421|Cemento y productos de concreto
2431|Cal, yeso y productos de yeso
2441|Madera y productos de madera
2451|Vidrio y productos de vidrio
2461|Material eléctrico y electrónico
2471|Artículos metálicos para la construcción
2481|Materiales complementarios
2491|Otros materiales y artículos de construcción y reparación
2511|Productos químicos básicos
2521|Fertilizantes, pesticidas y otros agroquímicos
2531|Medicinas y productos farmacéuticos
2541|Materiales, accesorios y suministros médicos
2551|Materiales, accesorios y suministros de laboratorio
2561|Fibras sintéticas, hules, plásticos y derivados
2591|Otros productos químicos
2611|Combustibles, lubricantes y aditivos para vehículos destinados a programas de seguridad pública
2612|Combustibles, lubricantes y aditivos destinados para actividades operativas
2613|Combustibles, lubricantes y aditivos destinados para actividades administrativas
2711|Vestuario y uniformes destinados a actividades administrativas
2712|Vestuario y uniformes destinados a actividades operativas
2721|Prendas de seguridad y protección personal
2731|Artículos deportivos
2741|Productos textiles
2751|Blancos y otros productos textiles, excepto prendas de vestir
2821|Materiales de seguridad pública
2831|Prendas de protección para seguridad pública
2911|Herramientas menores
2921|Refacciones y accesorios menores de edificios
2931|Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo
2941|Refacciones y accesorios menores de equipo de cómputo y tecnologías de la información
2951|Refacciones y accesorios menores de equipo e instrumental médico y de laboratorio
2961|Refacciones y accesorios menores de equipo de transporte
2971|Refacciones y accesorios menores de equipo de defensa y seguridad
2981|Refacciones y accesorios menores de maquinaria y otros equipos
2991|Refacciones y accesorios menores de otros bienes muebles
3111|Servicio de energía eléctrica
3112|Diferencias de alumbrado público
3121|Servicio de gas
3131|Servicio de agua
